Protein_Gene	RNA_Gene		
IGF2BP1	ASCC3		
IGF2BP1	ASF1B		
IGF2BP1	ASH2L		
IGF2BP1	ASNS		
IGF2BP1	ASPH		
IGF2BP1	ASPM		
IGF2BP1	ASS1		
IGF2BP1	ASUN		
IGF2BP1	ASXL1		
IGF2BP1	ASXL2		
IGF2BP1	ATAD1		
IGF2BP1	ATAD5		
IGF2BP1	ATF2		
IGF2BP1	ATF3		
IGF2BP1	ATF4		
IGF2BP1	ATG13		
IGF2BP1	ATG16L1		
IGF2BP1	ATG4D		
IGF2BP1	ATG5		
IGF2BP1	ATG9A		
IGF2BP1	ATIC		
IGF2BP1	ATN1		
IGF2BP1	ATOX1		
IGF2BP1	ATP11A		
IGF2BP1	ATP11B		
IGF2BP1	ATP13A3		
IGF2BP1	ATP1A1		
IGF2BP1	ATP1B3		
IGF2BP1	ATP2A2		
IGF2BP1	ATP2B1		
IGF2BP1	ATP5A1		
IGF2BP1	ATP5B		
IGF2BP1	ATP5C1		
IGF2BP1	ATP5F1		
IGF2BP1	ATP5G1		
IGF2BP1	ATP5G2		
IGF2BP1	ATP5G3		
IGF2BP1	ATP5J		
IGF2BP1	ATP5J2		
IGF2BP1	ATP5L		
IGF2BP1	ATP5SL		
IGF2BP1	ATP6AP1		
IGF2BP1	ATP6AP2		
IGF2BP1	ATP6V0A1		
IGF2BP1	ATP6V0B		
IGF2BP1	ATP6V0C		
IGF2BP1	ATP6V1A		
IGF2BP1	ATP6V1C1		
IGF2BP1	ATP6V1D		
IGF2BP1	ATP6V1F		
IGF2BP1	ATP6V1H		
IGF2BP1	ATP8B2		
IGF2BP1	ATPAF1		
IGF2BP1	ATPIF1		
IGF2BP1	ATRAID		
IGF2BP1	ATRNL1		
IGF2BP1	ATRX		
IGF2BP1	ATXN1		
IGF2BP1	ATXN10		
IGF2BP1	ATXN2L		
IGF2BP1	ATXN7		
IGF2BP1	ATXN7L3		
IGF2BP1	ATXN7L3B		
IGF2BP1	AUP1		
IGF2BP1	AURKA		
IGF2BP1	AURKB		
IGF2BP1	AUTS2		
IGF2BP1	AVPI1		
IGF2BP1	AZI2		
IGF2BP1	AZIN1		
IGF2BP1	B4GALT1		
IGF2BP1	B4GALT2		
IGF2BP1	B4GALT3		
IGF2BP1	B4GAT1		
IGF2BP1	BACH1		
IGF2BP1	BAG4		
IGF2BP1	BAHD1		
IGF2BP1	BAMBI		
IGF2BP1	BANF1		
IGF2BP1	BAP1		
IGF2BP1	BAX		
IGF2BP1	BAZ1B		
IGF2BP1	BAZ2A		
IGF2BP1	BBS10		
IGF2BP1	BBS2		
IGF2BP1	BBS9		
IGF2BP1	BBX		
IGF2BP1	BCAP31		
IGF2BP1	BCAS2		
IGF2BP1	BCAS3		
IGF2BP1	BCAT1		
IGF2BP1	BCAT2		
IGF2BP1	BCCIP		
IGF2BP1	BCKDK		
IGF2BP1	BCL11A		
IGF2BP1	BCL2L13		
IGF2BP1	BCLAF1		
IGF2BP1	BCOR		
IGF2BP1	BCORL1		
IGF2BP1	BCS1L		
IGF2BP1	BDP1		
IGF2BP1	BECN1		
IGF2BP1	BET1L		
IGF2BP1	BEX4		
IGF2BP1	BFAR		
IGF2BP1	BICD2		
IGF2BP1	BIRC6		
IGF2BP1	BLM		
IGF2BP1	BLOC1S2		
IGF2BP1	BMI1		
IGF2BP1	BMP7		
IGF2BP1	BNIP2		
IGF2BP1	BOD1		
IGF2BP1	BPTF		
IGF2BP1	BRAF		
IGF2BP1	BRCA1		
IGF2BP1	BRCA2		
IGF2BP1	BRD2		
IGF2BP1	BRD3		
IGF2BP1	BRD4		
IGF2BP1	BRK1		
IGF2BP1	BROX		
IGF2BP1	BRPF3		
IGF2BP1	BSDC1		
IGF2BP1	BSG		
IGF2BP1	BTAF1		
IGF2BP1	BTBD10		
IGF2BP1	BTBD2		
IGF2BP1	BTBD7		
IGF2BP1	BTD		
IGF2BP1	BTF3		
IGF2BP1	BTF3L4		
IGF2BP1	BTG1		
IGF2BP1	BTG2		
IGF2BP1	BTG3		
IGF2BP1	BTN2A1		
IGF2BP1	BTN2A2		
IGF2BP1	BUB1		
IGF2BP1	BUB3		
IGF2BP1	BYSL		
IGF2BP1	BZW1		
IGF2BP1	BZW2		
IGF2BP1	C10orf12		
IGF2BP1	C11orf30		
IGF2BP1	C11orf84		
IGF2BP1	C12orf10		
IGF2BP1	C12orf4		
IGF2BP1	C12orf73		
IGF2BP1	C12orf75		
IGF2BP1	C14orf119		
IGF2BP1	C14orf166		
IGF2BP1	C14orf2		
IGF2BP1	C15orf39		
IGF2BP1	C16orf58		
IGF2BP1	C17orf58		
IGF2BP1	C17orf62		
