Protein_Gene	RNA_Gene		
IGF2BP1	RNU6ATAC		
IGF2BP1	ROBO1		
IGF2BP1	ROBO2		
IGF2BP1	RP11-1012A1.4		
IGF2BP1	RP11-142E9.1		
IGF2BP1	RP11-156P1.3		
IGF2BP1	RP11-160O5.1		
IGF2BP1	RP11-295P9.3		
IGF2BP1	RP11-418J17.1		
IGF2BP1	RP11-54O7.17		
IGF2BP1	RP11-552M11.4		
IGF2BP1	RP11-977G19.10		
IGF2BP1	RP3-461F17.3		
IGF2BP1	RP4-758J18.2		
IGF2BP1	RP6-24A23.3		
IGF2BP1	RP6-24A23.6		
IGF2BP1	RP6-24A23.8		
IGF2BP1	RPA1		
IGF2BP1	RPA2		
IGF2BP1	RPA3		
IGF2BP1	RPF1		
IGF2BP1	RPF2		
IGF2BP1	RPIA		
IGF2BP1	RPL10		
IGF2BP1	RPL10A		
IGF2BP1	RPL11		
IGF2BP1	RPL13		
IGF2BP1	RPL13A		
IGF2BP1	RPL14		
IGF2BP1	RPL15		
IGF2BP1	RPL17		
IGF2BP1	RPL18		
IGF2BP1	RPL18A		
IGF2BP1	RPL19		
IGF2BP1	RPL22		
IGF2BP1	RPL23		
IGF2BP1	RPL23A		
IGF2BP1	RPL24		
IGF2BP1	RPL27		
IGF2BP1	RPL27A		
IGF2BP1	RPL28		
IGF2BP1	RPL29		
IGF2BP1	RPL3		
IGF2BP1	RPL31		
IGF2BP1	RPL32		
IGF2BP1	RPL35		
IGF2BP1	RPL35A		
IGF2BP1	RPL36		
IGF2BP1	RPL37		
IGF2BP1	RPL37A		
IGF2BP1	RPL38		
IGF2BP1	RPL39		
IGF2BP1	RPL4		
IGF2BP1	RPL41		
IGF2BP1	RPL5		
IGF2BP1	RPL6		
IGF2BP1	RPL7A		
IGF2BP1	RPL8		
IGF2BP1	RPL9		
IGF2BP1	RPLP0		
IGF2BP1	RPLP1		
IGF2BP1	RPLP2		
IGF2BP1	RPN2		
IGF2BP1	RPPH1		
IGF2BP1	RPRD1A		
IGF2BP1	RPRD1B		
IGF2BP1	RPRD2		
IGF2BP1	RPS11		
IGF2BP1	RPS12		
IGF2BP1	RPS13		
IGF2BP1	RPS14		
IGF2BP1	RPS15		
IGF2BP1	RPS15A		
IGF2BP1	RPS16		
IGF2BP1	RPS19		
IGF2BP1	RPS2		
IGF2BP1	RPS20		
IGF2BP1	RPS21		
IGF2BP1	RPS23		
IGF2BP1	RPS24		
IGF2BP1	RPS27		
IGF2BP1	RPS27A		
IGF2BP1	RPS28		
IGF2BP1	RPS29		
IGF2BP1	RPS3		
IGF2BP1	RPS3A		
IGF2BP1	RPS4X		
IGF2BP1	RPS5		
IGF2BP1	RPS6		
IGF2BP1	RPS8		
IGF2BP1	RPS9		
IGF2BP1	RPSA		
IGF2BP1	RPTOR		
IGF2BP1	RPUSD3		
IGF2BP1	RRAGA		
IGF2BP1	RRAS2		
IGF2BP1	RRBP1		
IGF2BP1	RREB1		
IGF2BP1	RRM1		
IGF2BP1	RRM2		
IGF2BP1	RRP15		
IGF2BP1	RRP1B		
IGF2BP1	RRP36		
IGF2BP1	RSAD1		
IGF2BP1	RSBN1		
IGF2BP1	RSF1		
IGF2BP1	RSL1D1		
IGF2BP1	RSRC2		
IGF2BP1	RSRP1		
IGF2BP1	RTF1		
IGF2BP1	RTFDC1		
IGF2BP1	RTN3		
IGF2BP1	RTN4		
IGF2BP1	RUFY3		
IGF2BP1	RUSC1		
IGF2BP1	RUSC2		
IGF2BP1	RWDD1		
IGF2BP1	RWDD3		
IGF2BP1	RWDD4		
IGF2BP1	RYK		
IGF2BP1	S100A10		
IGF2BP1	SACM1L		
IGF2BP1	SACS		
IGF2BP1	SAE1		
IGF2BP1	SAFB		
IGF2BP1	SALL1		
IGF2BP1	SALL2		
IGF2BP1	SAMD1		
IGF2BP1	SAMD11		
IGF2BP1	SAP130		
IGF2BP1	SAP18		
IGF2BP1	SAR1A		
IGF2BP1	SARAF		
IGF2BP1	SARS		
IGF2BP1	SART3		
IGF2BP1	SAT2		
IGF2BP1	SATB1		
IGF2BP1	SATB2		
IGF2BP1	SATB2-AS1		
IGF2BP1	SAV1		
IGF2BP1	SBDS		
IGF2BP1	SBF1		
IGF2BP1	SCAF1		
IGF2BP1	SCAF11		
IGF2BP1	SCAF4		
IGF2BP1	SCAMP2		
IGF2BP1	SCAMP3		
IGF2BP1	SCAMP4		
IGF2BP1	SCAP		
IGF2BP1	SCARB1		
IGF2BP1	SCARNA2		
IGF2BP1	SCARNA9		
IGF2BP1	SCD		
IGF2BP1	SCFD1		
IGF2BP1	SCHIP1		
IGF2BP1	SCMH1		
IGF2BP1	SCML1		
IGF2BP1	SCOC		
IGF2BP1	SCP2		
IGF2BP1	SCRIB		
IGF2BP1	SCRN1		
IGF2BP1	SCYL1		
IGF2BP1	SCYL2		
IGF2BP1	SDC2		
IGF2BP1	SDCBP		
IGF2BP1	SDF2		
IGF2BP1	SDF4		
IGF2BP1	SDHB		
IGF2BP1	SDR39U1		
IGF2BP1	SEC13		
IGF2BP1	SEC16A		
IGF2BP1	SEC23B		
IGF2BP1	SEC23IP		
IGF2BP1	SEC24A		
IGF2BP1	SEC24C		
IGF2BP1	SEC61A1		
IGF2BP1	SEC61A2		
IGF2BP1	SEC63		
IGF2BP1	SECISBP2		
IGF2BP1	SEL1L		
IGF2BP1	SELK		
IGF2BP1	SEMA6A		
IGF2BP1	SENP1		
IGF2BP1	SEP15		
IGF2BP1	SEPHS1		
IGF2BP1	SEPHS2		
IGF2BP1	SEPT11		
IGF2BP1	SEPT2		
IGF2BP1	SEPT6		
IGF2BP1	SEPT7		
IGF2BP1	SEPT8		
IGF2BP1	SERBP1		
IGF2BP1	SERPINH1		
IGF2BP1	SESN2		
IGF2BP1	SESN3		
IGF2BP1	SET		
IGF2BP1	SETD1A		
IGF2BP1	SETD1B		
IGF2BP1	SETD2		
IGF2BP1	SETD3		
IGF2BP1	SETD5		
IGF2BP1	SETD6		
IGF2BP1	SF1		
IGF2BP1	SF3A1		
IGF2BP1	SF3A2		
IGF2BP1	SF3A3		
IGF2BP1	SF3B1		
IGF2BP1	SF3B2		
IGF2BP1	SF3B3		
IGF2BP1	SF3B4		
IGF2BP1	SF3B5		
IGF2BP1	SF3B6		
IGF2BP1	SFMBT2		
IGF2BP1	SFPQ		
IGF2BP1	SFSWAP		
IGF2BP1	SFXN1		
IGF2BP1	SGCE		
IGF2BP1	SGMS1		
IGF2BP1	SGPL1		
IGF2BP1	SH2B1		
IGF2BP1	SH2B3		
IGF2BP1	SH3BP1		
IGF2BP1	SH3BP4		
IGF2BP1	SH3GLB1		
IGF2BP1	SHCBP1		
IGF2BP1	SHISA5		
IGF2BP1	SHMT2		
IGF2BP1	SIAH2		
IGF2BP1	SIGMAR1		
IGF2BP1	SIK2		
IGF2BP1	SIKE1		
IGF2BP1	SIMC1		
IGF2BP1	SIN3A		
IGF2BP1	SIRT1		
IGF2BP1	SIX1		
IGF2BP1	SKA2		
IGF2BP1	SKA3		
IGF2BP1	SKAP2		
IGF2BP1	SKI		
IGF2BP1	SKIL		
IGF2BP1	SKP1		
IGF2BP1	SKP2		
IGF2BP1	SLAIN1		
IGF2BP1	SLAIN2		
IGF2BP1	SLBP		
IGF2BP1	SLC16A1		
IGF2BP1	SLC19A1		
IGF2BP1	SLC1A5		
IGF2BP1	SLC20A1		
IGF2BP1	SLC20A2		
IGF2BP1	SLC23A2		
IGF2BP1	SLC25A1		
IGF2BP1	SLC25A13		
IGF2BP1	SLC25A17		
IGF2BP1	SLC25A25		
IGF2BP1	SLC25A28		
IGF2BP1	SLC25A36		
IGF2BP1	SLC25A37		
IGF2BP1	SLC25A38		
IGF2BP1	SLC25A39		
IGF2BP1	SLC25A44		
IGF2BP1	SLC25A46		
IGF2BP1	SLC25A5		
IGF2BP1	SLC2A4RG		
IGF2BP1	SLC30A9		
IGF2BP1	SLC35A2		
IGF2BP1	SLC35A4		
IGF2BP1	SLC35B2		
IGF2BP1	SLC35B4		
IGF2BP1	SLC35C2		
IGF2BP1	SLC35F2		
IGF2BP1	SLC35G1		
IGF2BP1	SLC36A1		
IGF2BP1	SLC36A4		
IGF2BP1	SLC38A1		
IGF2BP1	SLC38A2		
IGF2BP1	SLC38A7		
IGF2BP1	SLC39A1		
IGF2BP1	SLC39A10		
IGF2BP1	SLC39A11		
IGF2BP1	SLC39A14		
IGF2BP1	SLC39A6		
IGF2BP1	SLC39A8		
IGF2BP1	SLC39A9		
IGF2BP1	SLC3A2		
IGF2BP1	SLC41A1		
IGF2BP1	SLC43A1		
IGF2BP1	SLC4A2		
IGF2BP1	SLC6A15		
IGF2BP1	SLC6A6		
IGF2BP1	SLC6A8		
IGF2BP1	SLC6A9		
IGF2BP1	SLC7A1		
IGF2BP1	SLC7A5		
IGF2BP1	SLC7A6OS		
IGF2BP1	SLIRP		
IGF2BP1	SLIT2		
IGF2BP1	SLK		
IGF2BP1	SLMAP		
IGF2BP1	SLU7		
IGF2BP1	SMAD3		
IGF2BP1	SMAD4		
IGF2BP1	SMAD5		
IGF2BP1	SMAD7		
IGF2BP1	SMARCA4		
IGF2BP1	SMARCA5		
IGF2BP1	SMARCB1		
IGF2BP1	SMARCC1		
IGF2BP1	SMARCD1		
IGF2BP1	SMARCD2		
IGF2BP1	SMARCE1		
IGF2BP1	SMC1A		
IGF2BP1	SMC2		
IGF2BP1	SMC4		
IGF2BP1	SMC5		
IGF2BP1	SMCR8		
IGF2BP1	SMG5		
IGF2BP1	SMG7		
IGF2BP1	SMG8		
IGF2BP1	SMG9		
IGF2BP1	SMIM20		
IGF2BP1	SMNDC1		
IGF2BP1	SMPD4		
IGF2BP1	SMS		
IGF2BP1	SMURF1		
IGF2BP1	SNAP23		
IGF2BP1	SNAP47		
IGF2BP1	SNAPIN		
IGF2BP1	SND1		
IGF2BP1	SNHG1		
IGF2BP1	SNHG16		
IGF2BP1	SNHG17		
IGF2BP1	SNHG19		
IGF2BP1	SNHG7		
IGF2BP1	SNORD118		
IGF2BP1	SNORD3A		
IGF2BP1	SNORD46		
IGF2BP1	SNORD97		
IGF2BP1	SNRNP200		
IGF2BP1	SNRNP27		
IGF2BP1	SNRNP40		
IGF2BP1	SNRNP48		
IGF2BP1	SNRPA		
IGF2BP1	SNRPA1		
IGF2BP1	SNRPB		
IGF2BP1	SNRPB2		
IGF2BP1	SNRPD2		
IGF2BP1	SNRPD3		
IGF2BP1	SNRPE		
IGF2BP1	SNTA1		
IGF2BP1	SNTB1		
IGF2BP1	SNU13		
IGF2BP1	SNX13		
IGF2BP1	SNX18		
IGF2BP1	SNX2		
IGF2BP1	SNX24		
IGF2BP1	SNX25		
IGF2BP1	SNX5		
IGF2BP1	SNX6		
IGF2BP1	SNX8		
IGF2BP1	SNX9		
IGF2BP1	SOBP		
IGF2BP1	SOCS2		
IGF2BP1	SOCS4		
IGF2BP1	SOD1		
IGF2BP1	SON		
IGF2BP1	SORBS3		
IGF2BP1	SOS1		
IGF2BP1	SOX12		
IGF2BP1	SOX4		
IGF2BP1	SP1		
IGF2BP1	SP2		
IGF2BP1	SP3		
IGF2BP1	SPATA6		
IGF2BP1	SPATA7		
IGF2BP1	SPCS1		
IGF2BP1	SPCS2		
IGF2BP1	SPCS3		
IGF2BP1	SPDL1		
IGF2BP1	SPECC1L		
IGF2BP1	SPEN		
IGF2BP1	SPG20		
IGF2BP1	SPICE1		
IGF2BP1	SPIN1		
IGF2BP1	SPIRE1		
IGF2BP1	SPRED2		
IGF2BP1	SPRTN		
IGF2BP1	SPRY1		
IGF2BP1	SPSB3		
IGF2BP1	SPTAN1		
IGF2BP1	SPTBN1		
IGF2BP1	SPTLC2		
IGF2BP1	SQLE		
IGF2BP1	SQSTM1		
IGF2BP1	SRA1		
IGF2BP1	SRCAP		
IGF2BP1	SREBF2		
IGF2BP1	SREK1		
IGF2BP1	SREK1IP1		
IGF2BP1	SRF		
IGF2BP1	SRGAP2		
IGF2BP1	SRM		
IGF2BP1	SRP14		
IGF2BP1	SRP19		
IGF2BP1	SRP68		
IGF2BP1	SRP72		
IGF2BP1	SRP9		
IGF2BP1	SRPK1		
IGF2BP1	SRPK2		
IGF2BP1	SRPR		
IGF2BP1	SRPRB		
IGF2BP1	SRRM1		
IGF2BP1	SRRM2		
IGF2BP1	SRRT		
IGF2BP1	SRSF1		
IGF2BP1	SRSF10		
IGF2BP1	SRSF11		
IGF2BP1	SRSF2		
IGF2BP1	SRSF3		
IGF2BP1	SRSF4		
IGF2BP1	SRSF6		
IGF2BP1	SRSF7		
IGF2BP1	SRSF9		
IGF2BP1	SS18		
IGF2BP1	SS18L2		
IGF2BP1	SSBP1		
IGF2BP1	SSFA2		
IGF2BP1	SSR1		
IGF2BP1	SSR2		
IGF2BP1	SSR3		
IGF2BP1	SSR4		
IGF2BP1	SSRP1		
IGF2BP1	SSSCA1		
IGF2BP1	SSX2IP		
IGF2BP1	ST13		
IGF2BP1	ST3GAL2		
IGF2BP1	ST7		
IGF2BP1	STAG1		
IGF2BP1	STAG2		
IGF2BP1	STAM		
IGF2BP1	STAMBP		
IGF2BP1	STARD7		
IGF2BP1	STAT1		
IGF2BP1	STAU1		
IGF2BP1	STC2		
IGF2BP1	STIM2		
IGF2BP1	STIP1		
IGF2BP1	STK16		
IGF2BP1	STK24		
IGF2BP1	STK25		
IGF2BP1	STK35		
IGF2BP1	STK38		
IGF2BP1	STK40		
IGF2BP1	STMN3		
IGF2BP1	STOML2		
IGF2BP1	STOX1		
IGF2BP1	STRADB		
IGF2BP1	STRAP		
IGF2BP1	STRBP		
IGF2BP1	STRIP1		
IGF2BP1	STRN4		
IGF2BP1	STT3A		
IGF2BP1	STX12		
IGF2BP1	STX16		
IGF2BP1	STX16-NPEPL1		
IGF2BP1	SUB1		
IGF2BP1	SUCLA2		
IGF2BP1	SUCO		
IGF2BP1	SUGP2		
IGF2BP1	SULT4A1		
IGF2BP1	SUMF2		
IGF2BP1	SUMO1		
IGF2BP1	SUMO2		
IGF2BP1	SUN1		
IGF2BP1	SUPT20H		
IGF2BP1	SUPT4H1		
IGF2BP1	SUPT5H		
IGF2BP1	SUPT6H		
IGF2BP1	SURF6		
IGF2BP1	SVIL-AS1		
IGF2BP1	SYMPK		
IGF2BP1	SYNCRIP		
IGF2BP1	SYNGR1		
IGF2BP1	SYS1		
IGF2BP1	SZRD1		
IGF2BP1	TAB3		
IGF2BP1	TACC3		
IGF2BP1	TADA3		
IGF2BP1	TAF12		
IGF2BP1	TAF15		
IGF2BP1	TAF1D		
IGF2BP1	TAF4		
IGF2BP1	TAF5L		
IGF2BP1	TAF6		
IGF2BP1	TAF7		
IGF2BP1	TAF9B		
IGF2BP1	TAGLN2		
IGF2BP1	TALDO1		
IGF2BP1	TANC1		
IGF2BP1	TANC2		
IGF2BP1	TAOK1		
IGF2BP1	TARDBP		
IGF2BP1	TARS		
IGF2BP1	TASP1		
IGF2BP1	TATDN2		
IGF2BP1	TAX1BP1		
IGF2BP1	TBC1D10B		
IGF2BP1	TBC1D13		
IGF2BP1	TBC1D14		
IGF2BP1	TBC1D16		
IGF2BP1	TBC1D4		
IGF2BP1	TBC1D5		
IGF2BP1	TBC1D9B		
IGF2BP1	TBL1XR1		
IGF2BP1	TBL2		
IGF2BP1	TBP		
IGF2BP1	TBPL1		
IGF2BP1	TBRG1		
IGF2BP1	TBRG4		
IGF2BP1	TCAF1		
IGF2BP1	TCAIM		
IGF2BP1	TCEA1		
IGF2BP1	TCEAL4		
IGF2BP1	TCEB2		
IGF2BP1	TCEB3		
IGF2BP1	TCERG1		
IGF2BP1	TCF12		
IGF2BP1	TCF19		
IGF2BP1	TCF20		
IGF2BP1	TCF3		
IGF2BP1	TCF7		
IGF2BP1	TCF7L2		
IGF2BP1	TCHP		
IGF2BP1	TCOF1		
IGF2BP1	TCP1		
IGF2BP1	TCP11L1		
IGF2BP1	TCTN3		
IGF2BP1	TDG		
IGF2BP1	TEAD1		
IGF2BP1	TECPR2		
IGF2BP1	TECR		
IGF2BP1	TENM3		
IGF2BP1	TENM4		
IGF2BP1	TERF2		
IGF2BP1	TET1		
IGF2BP1	TET3		
IGF2BP1	TEX22		
IGF2BP1	TEX261		
IGF2BP1	TEX264		
IGF2BP1	TFAM		
IGF2BP1	TFAP2A		
IGF2BP1	TFAP4		
IGF2BP1	TFCP2		
IGF2BP1	TFDP1		
IGF2BP1	TFDP2		
IGF2BP1	TFG		
IGF2BP1	TGDS		
IGF2BP1	TGFBR1		
IGF2BP1	TGIF2		
IGF2BP1	TGOLN2		
IGF2BP1	THAP1		
IGF2BP1	THAP4		
IGF2BP1	THAP7		
IGF2BP1	THAP9-AS1		
IGF2BP1	THOC2		
IGF2BP1	THOC5		
IGF2BP1	THOC7		
IGF2BP1	THRAP3		
IGF2BP1	THUMPD1		
IGF2BP1	THUMPD2		
IGF2BP1	THUMPD3		
IGF2BP1	THUMPD3-AS1		
IGF2BP1	TIAL1		
IGF2BP1	TICRR		
IGF2BP1	TIMM23		
IGF2BP1	TIMM8B		
IGF2BP1	TIMM9		
IGF2BP1	TIMMDC1		
IGF2BP1	TIMP1		
IGF2BP1	TIPARP		
IGF2BP1	TIPIN		
IGF2BP1	TJAP1		
IGF2BP1	TJP1		
IGF2BP1	TK1		
IGF2BP1	TKT		
IGF2BP1	TLE1		
IGF2BP1	TLE3		
IGF2BP1	TLE4		
IGF2BP1	TLK2		
IGF2BP1	TLN1		
IGF2BP1	TM2D3		
IGF2BP1	TM9SF1		
IGF2BP1	TM9SF2		
IGF2BP1	TM9SF3		
IGF2BP1	TMA7		
IGF2BP1	TMBIM6		
IGF2BP1	TMCC1		
IGF2BP1	TMCO1		
IGF2BP1	TMED10		
IGF2BP1	TMED3		
IGF2BP1	TMEM106C		
IGF2BP1	TMEM11		
IGF2BP1	TMEM123		
IGF2BP1	TMEM126A		
IGF2BP1	TMEM126B		
IGF2BP1	TMEM147		
IGF2BP1	TMEM14C		
IGF2BP1	TMEM164		
IGF2BP1	TMEM165		
IGF2BP1	TMEM167A		
IGF2BP1	TMEM179B		
IGF2BP1	TMEM18		
IGF2BP1	TMEM183A		
IGF2BP1	TMEM184B		
IGF2BP1	TMEM189		
IGF2BP1	TMEM199		
IGF2BP1	TMEM201		
IGF2BP1	TMEM205		
IGF2BP1	TMEM214		
IGF2BP1	TMEM222		
IGF2BP1	TMEM237		
IGF2BP1	TMEM243		
IGF2BP1	TMEM245		
IGF2BP1	TMEM248		
IGF2BP1	TMEM254		
IGF2BP1	TMEM258		
IGF2BP1	TMEM259		
IGF2BP1	TMEM30A		
IGF2BP1	TMEM39A		
IGF2BP1	TMEM50A		
IGF2BP1	TMEM63B		
IGF2BP1	TMEM70		
IGF2BP1	TMEM8A		
IGF2BP1	TMEM9		
IGF2BP1	TMEM94		
IGF2BP1	TMOD2		
IGF2BP1	TMPO		
IGF2BP1	TMTC3		
IGF2BP1	TMUB1		
IGF2BP1	TMX2		
IGF2BP1	TMX4		
IGF2BP1	TNFAIP1		
IGF2BP1	TNFRSF10B		
IGF2BP1	TNKS2		
IGF2BP1	TNPO1		
IGF2BP1	TNPO2		
IGF2BP1	TNPO3		
IGF2BP1	TNRC18		
IGF2BP1	TNRC6C		
IGF2BP1	TOB2		
IGF2BP1	TOM1L1		
IGF2BP1	TOMM20		
IGF2BP1	TOMM22		
IGF2BP1	TOMM40		
IGF2BP1	TOMM5		
IGF2BP1	TOMM6		
IGF2BP1	TOMM70A		
IGF2BP1	TOP2A		
IGF2BP1	TOP2B		
IGF2BP1	TOPBP1		
IGF2BP1	TOR1B		
IGF2BP1	TOX4		
IGF2BP1	TP53		
IGF2BP1	TP53BP2		
IGF2BP1	TPD52		
IGF2BP1	TPD52L2		
IGF2BP1	TPGS2		
IGF2BP1	TPI1		
IGF2BP1	TPM3		
IGF2BP1	TPM4		
IGF2BP1	TPP1		
IGF2BP1	TPR		
IGF2BP1	TPT1		
IGF2BP1	TRA2A		
IGF2BP1	TRA2B		
IGF2BP1	TRAF3		
IGF2BP1	TRAF3IP1		
IGF2BP1	TRAF7		
IGF2BP1	TRAK1		
IGF2BP1	TRAM1		
IGF2BP1	TRAP1		
IGF2BP1	TRAPPC1		
IGF2BP1	TRAPPC10		
IGF2BP1	TRAPPC13		
IGF2BP1	TRAPPC3		
IGF2BP1	TRAPPC6B		
IGF2BP1	TRIB1		
IGF2BP1	TRIB2		
IGF2BP1	TRIB3		
IGF2BP1	TRIM11		
IGF2BP1	TRIM2		
IGF2BP1	TRIM24		
IGF2BP1	TRIM28		
IGF2BP1	TRIM32		
IGF2BP1	TRIM37		
IGF2BP1	TRIM4		
IGF2BP1	TRIM44		
IGF2BP1	TRIM65		
IGF2BP1	TRIM8		
IGF2BP1	TRIO		
IGF2BP1	TRIP11		
IGF2BP1	TRIP12		
IGF2BP1	TRMT10C		
IGF2BP1	TRMT13		
IGF2BP1	TRMT44		
IGF2BP1	TRMU		
IGF2BP1	TRNP1		
IGF2BP1	TRO		
IGF2BP1	TROAP		
IGF2BP1	TROVE2		
IGF2BP1	TRPC4AP		
IGF2BP1	TRPS1		
IGF2BP1	TRRAP		
IGF2BP1	TRUB1		
IGF2BP1	TSC2		
IGF2BP1	TSC22D1		
IGF2BP1	TSC22D2		
IGF2BP1	TSC22D3		
IGF2BP1	TSEN15		
IGF2BP1	TSEN34		
IGF2BP1	TSFM		
IGF2BP1	TSG101		
IGF2BP1	TSHZ1		
IGF2BP1	TSHZ3		
IGF2BP1	TSN		
IGF2BP1	TSPAN17		
IGF2BP1	TSPAN3		
IGF2BP1	TSPAN7		
IGF2BP1	TSPYL1		
IGF2BP1	TSPYL2		
IGF2BP1	TSTD2		
IGF2BP1	TTC13		
IGF2BP1	TTC28		
IGF2BP1	TTC3		
IGF2BP1	TTC37		
IGF2BP1	TTF2		
IGF2BP1	TTI1		
IGF2BP1	TTK		
IGF2BP1	TTL		
IGF2BP1	TTLL12		
IGF2BP1	TTLL3		
IGF2BP1	TTYH3		
IGF2BP1	TUB		
IGF2BP1	TUBA1A		
IGF2BP1	TUBA1B		
IGF2BP1	TUBA1C		
IGF2BP1	TUBB4B		
IGF2BP1	TUBB6		
IGF2BP1	TUBGCP3		
IGF2BP1	TUFM		
IGF2BP1	TUG1		
IGF2BP1	TULP3		
IGF2BP1	TULP4		
IGF2BP1	TUSC2		
IGF2BP1	TUSC3		
IGF2BP1	TWF1		
IGF2BP1	TWISTNB		
IGF2BP1	TXLNA		
IGF2BP1	TXN		
IGF2BP1	TXN2		
IGF2BP1	TXNDC5		
IGF2BP1	TXNDC9		
IGF2BP1	TXNIP		
IGF2BP1	TXNL4A		
IGF2BP1	TXNRD1		
IGF2BP1	TYMS		
IGF2BP1	U2AF1		
IGF2BP1	U2AF1L5		
IGF2BP1	U2AF2		
IGF2BP1	U2SURP		
IGF2BP1	UAP1		
IGF2BP1	UBA1		
IGF2BP1	UBA2		
IGF2BP1	UBA5		
IGF2BP1	UBA52		
IGF2BP1	UBAP1		
IGF2BP1	UBAP2		
IGF2BP1	UBAP2L		
IGF2BP1	UBB		
IGF2BP1	UBC		
IGF2BP1	UBE2A		
IGF2BP1	UBE2C		
IGF2BP1	UBE2D2		
IGF2BP1	UBE2D3		
IGF2BP1	UBE2E1		
IGF2BP1	UBE2E2		
IGF2BP1	UBE2E3		
IGF2BP1	UBE2G1		
IGF2BP1	UBE2G2		
IGF2BP1	UBE2H		
IGF2BP1	UBE2I		
IGF2BP1	UBE2J1		
IGF2BP1	UBE2K		
IGF2BP1	UBE2M		
IGF2BP1	UBE2N		
IGF2BP1	UBE2Q1		
IGF2BP1	UBE2R2		
IGF2BP1	UBE2V1		
IGF2BP1	UBE2Z		
IGF2BP1	UBE3A		
IGF2BP1	UBE3B		
IGF2BP1	UBE3C		
IGF2BP1	UBFD1		
IGF2BP1	UBL3		
IGF2BP1	UBL4A		
IGF2BP1	UBL7		
IGF2BP1	UBN1		
IGF2BP1	UBN2		
IGF2BP1	UBP1		
IGF2BP1	UBQLN1		
IGF2BP1	UBQLN2		
IGF2BP1	UBR4		
IGF2BP1	UBR7		
IGF2BP1	UBTD2		
IGF2BP1	UBTF		
IGF2BP1	UBXN2B		
IGF2BP1	UBXN4		
IGF2BP1	UBXN7		
IGF2BP1	UCHL1		
IGF2BP1	UCHL3		
IGF2BP1	UCHL5		
IGF2BP1	UCK2		
IGF2BP1	UCKL1		
IGF2BP1	UCP2		
IGF2BP1	UFD1L		
IGF2BP1	UFSP2		
IGF2BP1	UGGT1		
IGF2BP1	UHRF1		
IGF2BP1	UHRF1BP1		
IGF2BP1	UHRF1BP1L		
IGF2BP1	UMPS		
IGF2BP1	UNC119		
IGF2BP1	UNC119B		
IGF2BP1	UNC5B		
IGF2BP1	UNC5C		
IGF2BP1	UNG		
IGF2BP1	UNK		
IGF2BP1	UPF1		
IGF2BP1	UQCC1		
IGF2BP1	UQCC2		
IGF2BP1	UQCR11		
IGF2BP1	UQCRC2		
IGF2BP1	UQCRFS1		
IGF2BP1	UQCRH		
IGF2BP1	UQCRQ		
IGF2BP1	URB2		
IGF2BP1	URGCP		
IGF2BP1	URI1		
IGF2BP1	UROD		
IGF2BP1	USB1		
IGF2BP1	USF1		
IGF2BP1	USF2		
IGF2BP1	USP10		
IGF2BP1	USP11		
IGF2BP1	USP14		
IGF2BP1	USP21		
IGF2BP1	USP22		
IGF2BP1	USP24		
IGF2BP1	USP3		
IGF2BP1	USP30		
IGF2BP1	USP31		
IGF2BP1	USP32		
IGF2BP1	USP34		
IGF2BP1	USP36		
IGF2BP1	USP37		
IGF2BP1	USP39		
IGF2BP1	USP48		
IGF2BP1	USP54		
IGF2BP1	USP8		
IGF2BP1	USP9X		
IGF2BP1	UTP11L		
IGF2BP1	UTP14A		
IGF2BP1	UTRN		
IGF2BP1	UXT		
IGF2BP1	VAC14		
IGF2BP1	VAMP2		
IGF2BP1	VAPA		
IGF2BP1	VAPB		
IGF2BP1	VASH1		
IGF2BP1	VAT1		
IGF2BP1	VBP1		
IGF2BP1	VCAN		
IGF2BP1	VCL		
IGF2BP1	VCP		
IGF2BP1	VDAC2		
IGF2BP1	VDAC3		
IGF2BP1	VEGFA		
IGF2BP1	VEGFB		
IGF2BP1	VEZF1		
IGF2BP1	VEZT		
IGF2BP1	VIM		
IGF2BP1	VIMP		
IGF2BP1	VKORC1		
IGF2BP1	VLDLR		
IGF2BP1	VMP1		
IGF2BP1	VOPP1		
IGF2BP1	VPS13A		
IGF2BP1	VPS13C		
IGF2BP1	VPS25		
IGF2BP1	VPS26A		
IGF2BP1	VPS26B		
IGF2BP1	VPS35		
IGF2BP1	VPS36		
IGF2BP1	VPS45		
IGF2BP1	VPS53		
IGF2BP1	VTA1		
IGF2BP1	VTI1B		
IGF2BP1	VWA9		
IGF2BP1	WAC		
IGF2BP1	WAPL		
IGF2BP1	WARS		
IGF2BP1	WASF1		
IGF2BP1	WASF2		
IGF2BP1	WASL		
IGF2BP1	WBP11		
IGF2BP1	WBP1L		
IGF2BP1	WBP2		
IGF2BP1	WBP5		
IGF2BP1	WDFY1		
IGF2BP1	WDFY3		
IGF2BP1	WDHD1		
IGF2BP1	WDR1		
IGF2BP1	WDR11		
IGF2BP1	WDR12		
IGF2BP1	WDR13		
IGF2BP1	WDR18		
IGF2BP1	WDR19		
IGF2BP1	WDR26		
IGF2BP1	WDR3		
IGF2BP1	WDR33		
IGF2BP1	WDR34		
IGF2BP1	WDR36		
IGF2BP1	WDR41		
IGF2BP1	WDR43		
IGF2BP1	WDR45		
IGF2BP1	WDR45B		
IGF2BP1	WDR47		
IGF2BP1	WDR48		
IGF2BP1	WDR6		
IGF2BP1	WDR7		
IGF2BP1	WDR74		
