a	c	percent	percent.genes	b	d	p.value	OR	Tissue	"p.adjust(df$p.value, method = ""fdr"")"	Group	TissueName	TissueCategory
28	1021	2.742409403	9.999194912	2484	24842	1	0.253807128	Pancreas	1	IP.MS	Pancreas	Pancreas
75	1021	7.345739471	9.999194912	2484	24842	0.998372572	0.713603071	Pituitary	1	IP.MS	Pituitary	Other
90	1021	8.814887365	9.999194912	2484	24842	0.903513648	0.870088187	Prostate	1	IP.MS	Prostate	Other
117	1021	11.45935357	9.999194912	2484	24842	0.073048347	1.164908272	Skin_Not_Sun_Exposed_.Suprapubic.	0.113869482	IP.MS	Skin - Not Sun Exposed (Suprapubic)	Other
122	1021	11.94906954	9.999194912	2484	24842	0.026132086	1.221455425	Skin_Sun_Exposed_.Lower_leg.	0.043281268	IP.MS	Skin - Sun Exposed (Lower leg)	Other
71	1021	6.953966699	9.999194912	2484	24842	0.999658925	0.672701128	Small_Intestine_Terminal_Ileum	1	IP.MS	Small Intestine - Terminal Ileum	Digestive
70	1021	6.856023506	9.999194912	2484	24842	0.999777111	0.662529384	Spleen	1	IP.MS	Spleen	Blood/Immune
104	1021	10.18609207	9.999194912	2484	24842	0.43856173	1.020812705	Stomach	0.628210045	IP.MS	Stomach	Digestive
11	1021	1.077375122	9.999194912	2484	24842	1	0.098032459	Testis	1	IP.MS	Testis	Other
97	1021	9.500489716	9.999194912	2484	24842	0.714126382	0.94488633	Thyroid	0.923138981	IP.MS	Thyroid	Other
177	1021	17.33594515	9.999194912	2484	24842	1.74E-12	1.887639375	Uterus	1.15E-11	IP.MS	Uterus	Other
97	1021	9.500489716	9.999194912	2484	24842	0.714126382	0.94488633	Vagina	0.923138981	IP.MS	Vagina	Other
43	1021	4.211557297	9.999194912	2484	24842	1	0.395750468	Whole_Blood	1	IP.MS	Whole Blood	Blood/Immune
